"","model","noise","acc","lci","uci"
"1","nl",0.001,0.360153256704981,0.31992337164751,0.402298850574713
"2","nl",0.25,0.109195402298851,0.0823754789272031,0.136015325670498
"3","nl",0.5,0.0344827586206897,0.0191570881226054,0.0517241379310345
"4","nl",0.75,0.00574712643678161,0,0.0134099616858238
"5","tRecip",0.001,0.365900383141762,0.323754789272031,0.408045977011494
"6","tRecip",0.25,0.362068965517241,0.32183908045977,0.402298850574713
"7","tRecip",0.5,0.369731800766284,0.327586206896552,0.411877394636015
"8","tRecip",0.75,0.312260536398467,0.273946360153257,0.352490421455939
